평점순위,회사명,지역,평점,연봉
1,페이스북코리아(유),서울,4.5,"14,001"
2,(주)살다,서울,4.4,"4,017"
3,라이엇게임즈코리아,해외,4.4,"6,337"
4,유니티테크놀로지스코리아(유),서울,4.4,"5,304"
5,네이버웹툰,경기,4.3,"4,967"
6,구글코리아(유),서울,4.3,"10,513"
7,행복쇼핑(주),서울,4.3,"3,080"
8,(주)데이블,서울,4.3,"3,699"
9,(주)핫셀러,서울,4.3,"3,900"
10,(주)센드버드코리아,서울,4.3,"4,946"
11,(주)벡터코리아아이티,서울,4.2,"4,819"
12,네이버제트(주),경기,4.2,"4,852"
13,(주)베이글코드,서울,4.2,"5,097"
14,(주)큐픽스,경기,4.2,0
15,(주)쇼엠,인천,4.2,"2,947"
16,버즈빌(주),서울,4.2,"3,751"
17,구 카카오(주) ,경기,4.1,"4,480"
18,(주)로드와이즈,서울,4.1,"4,467"
19,(주)에이스프로젝트,서울,4.1,"3,282"
20,(주)무른모,인천,4.1,"3,076"
21,(주)셀메이트,서울,4.1,"3,196"
22,(주)생활연구소,경기,4.0,"4,184"
23,지오그레이트(주),서울,4.0,"2,644"
24,에스에이피랩스코리아(주),서울,4.0,"7,040"
25,피앤피시큐어(주),경기,4.0,"3,838"
26,(주)당근마켓,서울,4.0,"5,200"
27,(주)슈퍼브에이아이,서울,4.0,"2,883"
28,네이버클라우드(주),경기,4.0,"9,299"
29,시만텍코리아(주),서울,4.0,"7,152"
30,SK텔레콤(주),서울,4.0,"5,726"
31,(주)헤븐트리,경북,4.0,"3,381"
32,넷마블에프앤씨(주),서울,4.0,"4,701"
33,(주)코그넥스코리아,서울,4.0,"5,455"
34,네이버(주),경기,3.9,"7,606"
35,아마존웹서비스,서울,3.9,"11,284"
36,(주)클루커스,서울,3.9,"3,861"
37,디에이전시(주),서울,3.9,"3,116"
38,(주)페이타랩,부산,3.9,"3,053"
39,넷스루(주),서울,3.9,"4,776"
40,(주)이씨에스텔레콤,서울,3.9,"6,410"
41,(주)오픈서베이,서울,3.9,"4,248"
42,(주)온다,서울,3.9,"3,701"
43,우리에프아이에스(주),서울,3.9,"8,856"
44,캠프모바일,서울,3.9,"7,057"
45,에스에이피코리아(주),서울,3.9,"12,410"
46,테이블링(주),서울,3.9,"3,361"
47,(주)빅인사이트,서울,3.9,"4,291"
48,(주)코그,대구,3.9,"3,034"
49,엠비아이솔루션(주),서울,3.8,"4,509"
50,(주)카카오,제주,3.8,"6,184"
51,클래스팅(주),서울,3.8,"3,682"
52,퍼블리시(주),서울,3.8,"3,056"
53,(주)애드니즈컴퍼니,서울,3.8,"2,466"
54,(주)플랜잇파트너스,서울,3.8,"5,440"
55,데브시스터즈(주),서울,3.8,"4,533"
56,(주)이랜서,서울,3.8,"2,221"
57,(주)지란지교시큐리티,서울,3.8,"3,867"
58,(주)파이브센스,서울,3.8,"2,460"
59,유디피(주),서울,3.8,"4,917"
60,(주)크레비스파트너스,서울,3.8,"3,189"
61,잡플래닛,서울,3.8,"4,196"
62,(주)버킷플레이스,서울,3.8,"2,363"
63,(주)코스콤,서울,3.8,"11,994"
64,(주)크몽,서울,3.8,"2,491"
65,파이언넷(주),서울,3.8,"4,607"
66,한국아이티진흥(주),서울,3.8,"4,837"
67,콩테크(주),경기,3.7,"4,075"
68,(주)드라마앤컴퍼니,서울,3.7,"3,509"
69,(주)우리요,전북,3.7,"3,118"
70,나이스정보통신(주),서울,3.7,"8,156"
71,(주)오피지지,서울,3.7,"3,625"
72,라인플러스(주),경기,3.7,"8,155"
73,(주)넥슨코리아,경기,3.7,"5,445"
74,(주)스윗코리아,해외,3.7,"5,379"
75,(주)오케이몰,서울,3.7,"3,987"
76,네오플(주),제주,3.7,"7,142"
77,(주)자란다,서울,3.7,"4,018"
78,브이씨엔씨(주),서울,3.7,"4,018"
79,(주)쿡앱스,경기,3.7,"4,152"
80,(주)힐링페이퍼,서울,3.7,"3,786"
81,제너시스템즈(주),서울,3.7,"4,278"
82,(주)모코엠시스,서울,3.7,"4,859"
83,(주)우아한형제들,서울,3.7,"4,339"
84,(주)카이아이컴퍼니,서울,3.7,"3,550"
85,코이웨어(주),서울,3.7,"2,638"
86,(주)백패커,서울,3.6,"3,173"
87,(주)씨커스,서울,3.6,"2,493"
88,(주)라이트브레인,서울,3.6,"3,603"
89,(주)엔라이즈,서울,3.6,"3,263"
90,(주)새움소프트,경기,3.6,"2,450"
91,(주)에이치알맨파워그룹,서울,3.6,"5,598"
92,웍스모바일(주),경기,3.6,"4,929"
93,(주)머스트잇,서울,3.6,"3,363"
94,(주)액션스퀘어,경기,3.6,"4,346"
95,다음커뮤니케이션(주),제주,3.6,"4,609"
96,스터디코드네트웍스(주),서울,3.6,"2,286"
97,엔테크서비스(주),경기,3.6,"4,210"
98,케이스마텍(주),서울,3.6,"3,911"
99,한국마이크로소프트(유),서울,3.6,"13,337"
100,(주)어반베이스,서울,3.6,"4,285"
101,(주)이수시스템,서울,3.6,"6,555"
102,(주)리플렉션,서울,3.6,"3,609"
103,(주)연합인포맥스,서울,3.6,"6,860"
104,(주)태성에스엔이,서울,3.6,"9,531"
105,차봇모빌리티(주),서울,3.6,"4,591"
106,카테노이드(주),서울,3.6,"3,547"
107,지식시스템(주),경기,3.6,"5,645"
108,(주)엔씨소프트,서울,3.6,"6,713"
109,(주)오픈메이트,서울,3.6,"4,853"
